Medida,AD,PS,CH,BE,CDU,PAN,IL,L
É preciso descer os impostos sobre as empresas para fazer crescer a economia?,1,-1,0,-1,-1,1,1,-1
Deve ser criada uma agência para regular a Inteligência Artificial?,-1,-1,-1,-1,-1,-1,-1,1
Defende a nacionalização e não privatização de mais empresas?,-1,-1,-1,1,1,-1,-1,0
O Estado deve definir sectores estratégicos na economia?,-1,1,-1,1,1,1,-1,1
Deve haver maior intervenção dos privados na Saúde?,1,-1,1,-1,-1,-1,1,-1
Deve ser criado o crime de residência ilegal para imigrantes que se encontrem em situação irregular no país?,-1,-1,1,-1,-1,-1,-1,-1
A entrada em Portugal de imigrantes deve estar ligada ao mercado de trabalho?,1,-1,1,-1,-1,-1,1,-1
Portugal deve sair da NATO?,-1,-1,-1,1,1,-1,-1,-1
"Portugal deve reconhecer a Palestina como Estado, sem esperar pela União Europeia?",-1,-1,-1,1,1,-1,-1,1
Deve ser criado um Serviço Nacional de Saúde (SNS) para animais? ,-1,-1,-1,1,-1,1,-1,-1
As touradas devem ser proibidas?,-1,-1,-1,-1,-1,1,-1,1
As empresas devem contribuir para a Segurança Social em função dos lucros e não só do número de trabalhadores? ,1,1,-1,1,1,-1,-1,1
O setor privado deve suprir as falhas da creche gratuita?,1,1,0,-1,-1,-1,-1,-1
"Portugal deve testar um sistema em que todas as pessoas recebam um rendimento mínimo dado pelo Estado, sem quaisquer condições?",-1,-1,-1,-1,-1,1,-1,1
Deveríamos pagar todos a mesma taxa de IRS?,-1,-1,1,-1,-1,-1,1,-1
Os alunos devem ter mais exames nas escolas?,1,-1,1,-1,-1,-1,1,-1
Defende a legalização da eutanásia?,-1,1,-1,1,-1,1,1,1
O Estado deve dar uma garantia pública nos créditos à habitação para aquisição da primeira casa aos jovens?,1,1,0,-1,-1,-1,-1,-1
O Estado deve eliminar o Imposto Municipal sobre Transmissões Onerosas de Imóveis (IMT) na compra de habitação?,1,-1,1,-1,-1,-1,1,-1
Os rendimentos dos filhos devem ser excluídos na consideração ao acesso de um idoso ao Complemento Solidário para Idosos (CSI)?,-1,1,-1,1,1,-1,-1,1
Deve ser permitido o trabalho a tempo parcial a partir dos 60 anos?,1,1,-1,-1,-1,-1,-1,-1
As prestações sociais (não contributivas) devem ser fundidas numa só?,1,1,-1,-1,-1,-1,-1,-1
Admite que o Estado deve reter os jovens médicos por uns anos no Serviço Nacional de Saúde (SNS) ?,-1,1,-1,-1,-1,-1,-1,-1
O Estado deve deixar de financiar as associações que promovem a igualdade de género?,-1,-1,1,-1,-1,-1,-1,-1
O lobbying deve ser legalizado?,1,1,1,-1,-1,1,1,1
O próximo Governo deve reduzir para 35 as horas de trabalho semanal?,-1,-1,-1,1,1,-1,-1,1
O Estado deve obrigar a Caixa Geral de Depósitos a baixar os valores das prestações pelo crédito à habitação?,-1,-1,-1,1,1,-1,-1,-1
PSP e GNR devem ter direito à greve ?,-1,-1,1,-1,1,-1,-1,1
Deve estar prevista na lei a castração química para pedófilos reincidentes?,-1,-1,1,-1,-1,-1,-1,-1